Zach Jones 2024 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 2,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,16-Dec,,,,,,,,,,,,,,,
Bench- 175-180 max,50%x5,60%x4,70%x3x2 belt,80%x2-3x2-3 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,107.5-110,125-127.5,142.5-145,pause every rep,,,,,,,,,,,
RAM Press- 200-205 max,77.5-80%x3x1-2 belt,82.5-85%x2-3x1-2 belt,87.5-90%x1-3x3 belt,video please,,,,,,,,,,,,
,160-165 RAM,170-175 RAM,180-185 RAM,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 200-205 max,92.5-95%x1-3x3 belt,video please,,,,,,,,,,,,,,
,185-195 RAM 2 bd,pause every rep,,,,,,,,,,,,,,
Squats- 230 max,50%x5 belt,60%x4 belt,67.5-70%x3x2 belt,72.5-77.5%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",115,140,155-162.5,167.5-180,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x10-12,pause the bottom and up slow,,,,,,,,,,,,,,
DB Front Raises seated,3-4x10-12,30-40 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x10-12,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,17-Dec,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,18-Dec,,,,,,,,,,,,,,,
Bench- 175-180 max,50%x6,60%x5,70%x4 belt,75%x3x1-2 belt,80%x2x2 belt,video please,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,107.5-110,125-127.5,132.5-135,142.5-145,pause every rep,,,,,,,,,,
82.5-85%x1x2 belt,80%x2x2 belt,75%x3x1-2 belt,70%x4-5 belt,60%x6-8,50%x8-10,video please,,,,,,,,,,
150-155,142.5-145,132.5-135,125-127.5,107.5-110,90,pause every rep,,,,,,,,,,
Conventional Deads - 245 max,50%x5 belt,60%x4 belt,67.5-70%x3x2 belt,75-80%x2-3x5 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 100-105x5",125,147.5,165-172.5,185-197.5,,,,,,,,,,,,
Pullups,2-4x10-12,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,2-4x12,30-40 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,2-4x:50-:60 Seconds,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,19-Dec,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,20-Dec,,,,,,,,,,,,,,,
Bench- 175-180 max,50%x5,60%x4,70%x3x2 belt,80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x2, 60x6x2",90,107.5-110,125-127.5,142.5-145,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175-180 max,72.5-75%x2-3x4 belt,video please,,,,,,,,,,,,,,
,130-135,pause every rep,,,,,,,,,,,,,,
Squats- 230 max,50%x5 belt,60%x5x2 belt,65-70%x5x5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",115,140,150-162.5,,,,,,,,,,,,,
Barbell Standing Shoulder Press,"bar x6-8, 3-4x3-5",45-65 kgs,video please,,,,,,,,,,,,,
DB Rear Delt Raises,3-4x8,35-45 lb dbs,,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,21-Dec,,,,,,,,,,,,,,,
Bench- 175-180 max,52.5%x4-5,62.5%x3-4x2,72.5%x2-3x4-5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 60x5-6x1-2",95,115,130-132.5,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 175-180 max,77.5-80%x3 belt,82.5-85%x2-3x1-2 belt,87.5-90%x1-3x3-4 belt,video please,,,,,,,,,,,,
,140-145,150-155,157.5-162.5,pause every rep,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,50-52.5%x4-5 belt ,60-62.5%x3-4x2 belt ,67.5-72.5%x2-3x5 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x2, 70-75x6x2, 100-105x5",125-130,145-155,165-180,,,,,,,,,,,,,
DB Rows,3-4x10 ea side,80-110 lb db,pause it at the top and go 2 seconds on the way back down,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x10-12,pause the bottom and up slow,,,,,,,,,,,,,,
DB Flies,3-4x12,35-45 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:55-:65 Seconds,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
